idx,Vs,Vs_time,HR,Ees_lv,Ees_rv,Comments
0,,,,,,
1,,,,0.95,0.95,
2,,,,1.05,1.05,
3,,,0.95,,,
4,,,0.95,0.95,0.95,
5,,,0.95,1.05,1.05,
6,,,1.05,,,
7,,,1.05,0.95,0.95,
8,,,1.05,1.05,1.05,
9,-40,10,,,,
10,-40,10,,0.95,0.95,
11,-40,10,,1.05,1.05,
12,-40,10,0.95,,,
13,-40,10,0.95,0.95,0.95,
14,-40,10,0.95,1.05,1.05,
15,-40,10,1.05,,,
16,-40,10,1.05,0.95,0.95,
17,-40,10,1.05,1.05,1.05,
18,40,10,,,,
19,40,10,,0.95,0.95,
20,40,10,,1.05,1.05,
21,40,10,0.95,,,
22,40,10,0.95,0.95,0.95,
23,40,10,0.95,1.05,1.05,
24,40,10,1.05,,,
25,40,10,1.05,0.95,0.95,
26,40,10,1.05,1.05,1.05,
